case_received_date,case_status,class_of_admission,country_of_citizenship,decision_date,employer_city,employer_country,employer_name,employer_state,foreign_worker_info_birth_country,job_info_education,pw_determ_date,pw_expire_date,pw_job_title_9089,Processing Day
04-04-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1470
31-03-2011,Denied,H-1B,INDIA,06-05-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1497
15-04-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1459
15-04-2011,Denied,H-1B,INDIA,14-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1460
04-04-2011,Denied,H-1B,INDIA,25-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1451
27-05-2011,Denied,Parolee,INDIA,26-01-2015,JERSEY CITY,UNITED STATES OF AMERICA,"JSMN INTERNATIONAL, INC.",NEW JERSEY,INDIA,Master's,20-08-2010,03-07-2011,"Computer Software Engineers, Applications",1340
15-04-2011,Denied,H-1B,INDIA,27-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1473
13-04-2011,Denied,H-1B,INDIA,16-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1464
05-04-2011,Denied,H-1B,INDIA,16-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1472
06-06-2011,Denied,H-1B,INDIA,24-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1387
06-06-2011,Denied,H-1B,INDIA,13-04-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,03-12-2010,30-06-2011,Computer Systems Analysts,1407
19-05-2011,Denied,H-1B,INDIA,17-03-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1398
12-05-2011,Denied,H-1B1,INDIA,05-05-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1454
29-03-2011,Denied,H-1B,INDIA,06-05-2015,PLANO,UNITED STATES OF AMERICA,INFOSYS TECHNOLOGIES LIMITED,TEXAS,INDIA,Bachelor's,24-08-2010,30-06-2011,Computer Systems Analysts,1499
